Issue Key,Summary,Issue Type,Priority,Status,Labels,Description,Acceptance Criteria
VCDC-1,Prepare prototype device for session,Task,High,Done,device prep,"Confirm device is charged, updated, labeled, and ready for the data collection session.","Device powers on | Correct app/build is installed | Login is verified | Device ID is documented"
VCDC-2,Verify participant/session checklist,Task,High,Done,session-setup prep,"Review session checklist before data collection begins.","Session ID confirmed | Participant ID confirmed | Consent status confirmed | Scenario instructions confirmed | Collection protocol confirmed"
VCDC-3,Run scenario-driven data collection,Task,High,In Progress,data-collection session,"Conduct a scripted data collection scenario and record observations.","All required steps are completed | Timestamps are recorded | Any unusual behavior is documented"
VCDC-4,Log device issue during session,Bug,High,Blocked / Issue Found,device bug session,"Device froze during scenario step 4 and required restart.","Device ID recorded | Time of issue recorded | Steps to reproduce documented | Impact on session described | Whether data was usable is noted"
VCDC-5,Validate collected data file,Task,High,QA Review,data-validation qa,"Review collected data for missing fields, incorrect labels, or formatting issues.","Required fields are complete | Naming convention is correct | Data is saved in the proper folder"
VCDC-6,Audit completed session notes,Task,Medium,QA Review,qa documentation,"Compare session notes against collection protocol to ensure accuracy.","Notes are complete | Unclear items are flagged | Session is ready for final review"
VCDC-7,Update collection protocol suggestion,Improvement,Low,Backlog,process-improvement protocol,"Suggest adding a clearer troubleshooting step for device restart during session.","Suggestion explains the issue | Proposed change is described | Expected benefit is described"
VCDC-8,Final QA review,Task,High,Backlog,qa closeout,"Confirm session data and documentation are complete before closing the ticket.","Data file is complete | Session notes are complete | Issue log is complete | QA checklist is complete"
VCDC-9,Stage backup device for session,Task,Medium,Ready for Session,device prep,"Charge and configure a backup prototype device so the session can continue if the primary device fails.","Backup device charged to at least 80% | Same app/build as primary is installed | Backup device ID documented and labeled | Login verified on backup device"
VCDC-10,Organize and back up session data,Task,Medium,Backlog,data-management closeout,"After collection, move the session data into the correct folder structure and create a backup copy so the validated data is preserved.","Data filed under correct session/participant folder | File naming follows the convention | Backup copy stored in designated location | Backup confirmed to open and match original"
